id,cleaned_report_title,report_category_name,summary,text_content,is_waste,sample_task_id,sample_report_title,sample_report_text,user_id,created,updated,first_found,last_found,count,error_task_time,log_task_time,requeue_task_time,report_category_weight,predicted_task_time,predicted_task_status_error,predicted_task_status_completed,predicted_job_status,plugin
0,--,no category,marked for Admin to categorise,This is assigned manually to mark a error for further investigation. No category errors should be reviewed by an Admin and see if an existing category exists that fits or a new one needs to be created. Only Admins should create new categories to avoid multiple variations of the SAME category being created.,TRUE,,,,,,,,,,,,,,,,,,NULL
1,stalled worker report,stalled worker report,Deadline worker/slave has crashed,The worker has crashed. If this error has occured it is likely the render slave has stalled or is in a stalled state. ,TRUE,,STALLED WORKER REPORT,,,,,,,,,,,,,,,,Redshift
2,error error spacebox unable to create directory file exists at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,unable to create directory,Folder could not be created,"The render folder that is trying to be created is unable to be created. This can be a general windows problem as if a process has stalled when trying to create a directory, it can be seen as ""open"" by other processes.   It could also point to permission issues.  Please pass this over to Systems Administrators",TRUE,,"Error: FailRenderException : >>> [14:18.51] ERROR: MainWrite: Unable to create directory '//bstorage/projects/NJ/04_PRODUCTION/NJ00_RENDERS/01.COMP/NJ02/0010_NJ02/exr/', File exists    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I07plugins6054b2d77bf4173f68a7b1b0Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I07plugins6054b2d77bf4173f68a7b1b0Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I07plugins6054b2d77bf4173f68a7b1b0Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I07plugins6054b2d77bf4173f68a7b1b0Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
3,error monitored managed process nuke has exited or been terminated at name at name at name file line in rendertasks file line in writepython file line in at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,nuke has exited or been terminated,Nuke has crashed due to computation error,"The application ""NUKE"" has crashed due to issues revolving around the .nk script. This can be multiple issues however it is likely that the script itself is very heavy in regards to computation.  Please look into the scene and optimize the scene. ",TRUE,6026ad2bb0c0ab46f83fa340_72,"Error: ManagedProcessAbort : Monitored managed process Nuke has exited or been terminated.    at Deadline.Plugins.DeadlinePlugin.MonitoredManagedProcessExit(String name)    at FranticX.Processes.MonitoredManagedProcesses.VerifyMonitoredManagedProcess(String name)    at Deadline.Plugins.DeadlinePlugin.VerifyMonitoredManagedProcess(String name) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I04plugins6058d04284cc0f226459d7c0Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I04plugins6058d04284cc0f226459d7c0Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I04plugins6058d04284cc0f226459d7c0Nuke.py, line 45, in WaitForProcess     self.VerifyMonitoredManagedProcess( self.ProcessName )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)","""======================================================= Error ======================================================= The Plugin's Sandbox process is alive but unresponsive. Aborting Render...  ======================================================= Type ======================================================= RenderPluginException  ======================================================= Stack Trace =======================================================    at Deadline.Plugins.SandboxedPlugin.d(DeadlineMessage bcw, CancellationToken bcx)    at Deadline.Plugins.SandboxedPlugin.RenderTask(Task task, CancellationToken cancellationToken)    at Deadline.Slaves.SlaveRenderThread.c(TaskLogWriter aew, CancellationToken aex)  ======================================================= Log ======================================================= 2021-02-12 16:33:26:  0: Render Thread - Render State transition from = 'ReceivedTask' to = 'Other' 2021-02-12 16:33:26:  0: Plugin will be reloaded because a new job has been loaded. 2021-02-12 16:33:26:  0: Loading Job's Plugin timeout is Disabled 2021-02-12 16:33:28:  0: Loaded plugin Nuke 2021-02-12 16:33:28:  0: Executing plugin command of type 'Sync Files for Job' 2021-02-12 16:33:28:  0: All job files are already synchronized 2021-02-12 16:33:28:  0: Synchronizing Plugin Nuke from deadlineDeadlineRepositorypluginsNuke took: 0 seconds 2021-02-12 16:33:28:  0: Done executing plugin command of type 'Sync Files for Job' 2021-02-12 16:33:28:  0: Executing plugin command of type 'Initialize Plugin' 2021-02-12 16:33:28:  0: INFO: Executing plugin script 'C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I02plugins6026ad2bb0c0ab46f83fa340Nuke.py' 2021-02-12 16:33:28:  0: INFO: About: Nuke Plugin for Deadline 2021-02-12 16:33:28:  0: INFO: Render Job As User disabled, running as current user 'sir.render' 2021-02-12 16:33:28:  0: INFO: The job's environment will be merged with the current environment before rendering 2021-02-12 16:33:28:  0: Done executing plugin command of type 'Initialize Plugin' 2021-02-12 16:33:29:  0: Start Job timeout is disabled. 2021-02-12 16:33:29:  0: Task timeout is 273 seconds (Auto Task Timeout) 2021-02-12 16:33:29:  0: Loaded job: 0660_NJ03_COMP_TK08.nk - MainWrite2 (6026ad2bb0c0ab46f83fa340) 2021-02-12 16:33:29:  0: Executing plugin command of type 'Start Job' 2021-02-12 16:33:29:  0: DEBUG: S3BackedCache Client is not installed. 2021-02-12 16:33:29:  0: INFO: Executing global asset transfer preload script 'C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I02plugins6026ad2bb0c0ab46f83fa340GlobalAssetTransferPreLoad.py' 2021-02-12 16:33:29:  0: INFO: Looking for legacy (pre-10.0.26) AWS Portal File Transfer... 2021-02-12 16:33:29:  0: INFO: Looking for legacy (pre-10.0.26) File Transfer controller in C:/Program Files/Thinkbox/S3BackedCache/bin/task.py... 2021-02-12 16:33:29:  0: INFO: Could not find legacy (pre-10.0.26) AWS Portal File Transfer. 2021-02-12 16:33:29:  0: INFO: Legacy (pre-10.0.26) AWS Portal File Transfer is not installed on the system. 2021-02-12 16:33:29:  0: INFO: Prepping OFX cache 2021-02-12 16:33:29:  0: INFO: Checking Nuke temp path: C:Userssir.renderAppDataLocalTempnuke 2021-02-12 16:33:29:  0: INFO: Path already exists 2021-02-12 16:33:29:  0: INFO: OFX cache prepped 2021-02-12 16:33:29:  0: INFO: Starting monitored managed process Nuke 2021-02-12 16:33:29:  0: INFO: Enable Path Mapping: True 2021-02-12 16:33:29:  0: INFO: Stdout Redirection Enabled: True 2021-02-12 16:33:29:  0: INFO: Stdout Handling Enabled: True 2021-02-12 16:33:29:  0: INFO: Popup Handling Enabled: True 2021-02-12 16:33:29:  0: INFO: QT Popup Handling Enabled: False 2021-02-12 16:33:29:  0: INFO: WindowsForms10.Window.8.app.* Popup Handling Enabled: False 2021-02-12 16:33:29:  0: INFO: Using Process Tree: True 2021-02-12 16:33:29:  0: INFO: Hiding DOS Window: True 2021-02-12 16:33:29:  0: INFO: Creating New Console: False 2021-02-12 16:33:29:  0: INFO: Running as user: sir.render 2021-02-12 16:33:29:  0: INFO: Executable: ""C:Program FilesNuke12.0v3Nuke12.0.exe"" 2021-02-12 16:33:29:  0: INFO: Setting Process Environment Variable EDDY_DEVICE_LIST to  2021-02-12 16:33:29:  0: INFO: Argument: -V 2 -t ""C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I02jobsData6026ad2bb0c0ab46f83fa340thread0_templDhkF00660_NJ03_COMP_TK08.nk"" 2021-02-12 16:33:29:  0: INFO: Full Command: ""C:Program FilesNuke12.0v3Nuke12.0.exe"" -V 2 -t ""C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I02jobsData6026ad2bb0c0ab46f83fa340thread0_templDhkF00660_NJ03_COMP_TK08.nk"" 2021-02-12 16:33:29:  0: INFO: Startup Directory: ""C:Program FilesNuke12.0v3"" 2021-02-12 16:33:29:  0: INFO: Process Priority: BelowNormal 2021-02-12 16:33:29:  0: INFO: Process Affinity: default 2021-02-12 16:33:29:  0: INFO: Process is now running 2021-02-12 16:33:29:  0: Done executing plugin command of type 'Start Job' 2021-02-12 16:33:29:  0: Plugin rendering frame(s): 72 2021-02-12 16:33:29:  0: Render Thread - Render State transition from = 'Other' to = 'Rendering' 2021-02-12 16:33:29:  0: Executing plugin command of type 'Render Task' 2021-02-12 16:33:29:  0: INFO: Rendering write node MainWrite2 2021-02-12 16:33:29:  0: STDOUT: Nuke 12.0v3, 64 bit, built Nov 12 2019. 2021-02-12 16:33:29:  0: STDOUT: Copyright (c) 2019 The Foundry Visionmongers Ltd.  All Rights Reserved. 2021-02-12 16:33:29:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/_pathsetup.py 2021-02-12 16:33:29:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/init.tcl 2021-02-12 16:33:29:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/init.py 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/setenv.tcl 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/formats.tcl 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/caravr/init.py 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Users/sir.render/.nuke/init.py 2021-02-12 16:33:30:  0: STDOUT: Loading //bstorage/PIPELINE/repos/nuke-scripts/init.py 2021-02-12 16:33:30:  0: STDOUT: Loading //bstorage/PIPELINE/repos/nuke-scripts/Repository/Gizmos/init.py 2021-02-12 16:33:30:  0: STDOUT: ('CUSTOM_GIZMO_LOCATION', '\bstoragePIPELINEreposnuke-scriptsRepositoryGizmos') 2021-02-12 16:33:30:  0: STDOUT: ('searchPaths', ['\bstoragePIPELINEreposnuke-scriptsRepositoryGizmos']) 2021-02-12 16:33:30:  0: STDOUT: Loading //bstorage/PIPELINE/repos/nuke-scripts/Tools/CryptomatteUtilities/init.py 2021-02-12 16:33:30:  0: STDOUT: Loading //bstorage/PIPELINE/repos/nuke-scripts/Deadline/init.py 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/getenv.tcl 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/OCIOColorSpace.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/exrReader.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/LayerContactSheet.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Merge2.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/dpxReader.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/IBKColourV3.gizmo 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Grade.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Clamp.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/IBK.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Invert.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Erode.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Copy.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Premult.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/FilterErode.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Merge.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/IBKGizmoV3.gizmo 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Transform.dll 2021-02-12 16:33:30:  0: STDOUT: Loading //bstorage/PIPELINE/repos/nuke-scripts/Tools/CryptomatteUtilities/Cryptomatte.gizmo 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Remove.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/pngReader.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Tile.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/tgaReader.tcl 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/targaReader.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Colorspace.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Add.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Multiply.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Keymix.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Constant.dll 2021-02-12 16:33:30:  0: STDOUT: Loading bstoragepipelinereposnuke-scriptsrepositorygizmoshandygizmosFilter/fizzle.gizmo 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/CheckerBoard2.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Reformat.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Gamma.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/CameraShake.gizmo 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/VectorBlur.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/TimeBlur.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Position.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Saturation.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/EXPTool.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/IDistort.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/PerspDistort.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/STMap.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/mp4Reader.tcl 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/movReader.dll 2021-02-12 16:33:30:  0: STDOUT: Loading bstoragepipelinereposnuke-scriptsrepositorygizmoshandygizmosFilter/bm_OpticalGlow.gizmo 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/ColorCorrect.dll 2021-02-12 16:33:30:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Dissolve.dll 2021-02-12 16:33:31:  0: STDOUT: Loading bstoragepipelinereposnuke-scriptsrepositorygizmoshandygizmosDespill/L_Despill_v05.gizmo 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Log2Lin.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Median.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/CopyBBox.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/ZDefocus2.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/AddChannels.dll 2021-02-12 16:33:31:  0: STDOUT: Loading bstoragepipelinereposnuke-scriptsrepositorygizmoshandygizmospacksL_Tools/L_CropBBox_v01.gizmo 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Crop.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Defocus.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Keyer.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/ChannelMerge.dll 2021-02-12 16:33:31:  0: STDOUT: Loading bstoragepipelinereposnuke-scriptsrepositorygizmoshandygizmospacksSB_Tools/sb_lensReflections.gizmo 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Noise.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/GodRays.dll 2021-02-12 16:33:31:  0: STDOUT: Loading bstoragepipelinereposnuke-scriptsrepositorygizmoshandygizmosNoise/Grain_CB.gizmo 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/ColorLookup.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Sharpen.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/CCorrect.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/ModifyMetaData.dll 2021-02-12 16:33:31:  0: STDOUT: Loading bstoragepipelinereposnuke-scriptsrepositorygizmoshandygizmosFilter/fl_VirtualLens.gizmo 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Radial.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/BlackOutside.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Convolve2.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/BlinkScript.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Ramp.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/HueShift.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/exrWriter.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Camera2.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Scene.tcl 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/MergeGeo.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/ScanlineRender.dll 2021-02-12 16:33:31:  0: STDOUT: Loading C:/Program Files/Nuke12.0v3/plugins/Tracker4.dll 2021-02-12 16:33:32:  0: STDOUT: [16:33:31 GMT Standard Time] Read nuke script: C:/Users/sir.render/AppData/Local/Thinkbox/Deadline10/slave/CONA17-_I02/jobsData/6026ad2bb0c0ab46f83fa340/thread0_templDhkF0/0660_NJ03_COMP_TK08.nk 2021-02-12 16:33:32:  0: STDOUT: >>> [16:33.32] Warning: root: Got request for zero or negative-sized box 2021-02-12 22:37:00:  0: An exception occurred: The Plugin's Sandbox process is alive but unresponsive. Aborting Render... (Deadline.Plugins.RenderPluginException)  ======================================================= Details ======================================================= Date: 02/12/2021 22:36:11 Frames: 72 Elapsed Time: 00:06:06:45 Job Submit Date: 02/12/2021 16:26:37 Job User: chris.mckenna Average RAM Usage: 62193827840 (91%) Peak RAM Usage: 68036386816 (100%) Average CPU Usage: 31% Peak CPU Usage: 91% Used CPU Clocks (x10^6 cycles): 392183808 Total CPU Clocks (x10^6 cycles): 1265109079  ======================================================= Worker Information ======================================================= Worker Name: CONA17-_I02 Version: v10.1.9.2 Release (3d6a64d94) Operating System: Windows 10 Pro Running As Service: No Machine User: sir.render IP Address: 192.168.1.68 MAC Address: 0C:9D:92:16:49:8A CPU Architecture: x64 CPUs: 16 CPU Usage: 12% Memory Usage: 63.4 GB / 63.7 GB (99%) Free Disk Space: 761.456 GB (26.668 GB on C:, 734.788 GB on D:) Video Card: NVIDIA GeForce RTX 2070"" ",,,,,,,,,,,,,,,Nuke
4,the worker did not complete the task before the auto task timeout limit of d h m s the auto task timeout settings can be configured in the repository options or this feature can be disabled for this job by rightclicking on it in the monitor and selecting modify properties,the worker did not complete the task before the auto task timeout limit,Frame took too long to render,"Deadline has an ""auto-task timeout"" If it detects a task/frame that takes longer than the average task/frame time, it will fail.  If this has happened in error please pass this onto the Systems Administrators",TRUE,,"The Worker did not complete the task before the Auto Task Timeout limit of 00d 00h 31m 58s. The Auto Task Timeout settings can be configured in the Repository Options, or this feature can be disabled for this job by right-clicking on it in the Monitor and selecting Modify Properties....",,,,,,,,,,,,,,,,Redshift
5,access to the path is denied,access to the path is denied,Permission and security issue,This is a security issue where the user or slave is unable to access the network path.   Please pass this on to the Systems Administrator,TRUE,,Access to the path 'C:Usersdylan.cooperAppDataLocalThinkboxDeadline10slavePILA04-_I02plugins6059b6143e1f1a4760b5d8f9GlobalAssetTransferPreLoad.py' is denied.,,,,,,,,,,,,,,,,Redshift
6,error error zdefocus unknown command this is most likely from corrupt nk file or from missing or unlicensed plugin cant render from that node at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,unknown command this is most likely from corrupt nk file or from missing or unlicensed plugin,User has a disapproved effect or plugin in script,"Plugins are effects and that ""plugged in"" to nuke EG. Mocha pro.  These plugins need to exist on all machines in order to render. This is the main reason why we have a repository of plugins which all users share. If this error occurs a user has installed a plugin manually that has not been added to the store.   Please either pass the plugin on to your HOD for approval and integration or delete from your machine/script",TRUE,,"Error: FailRenderException : [17:20.44] ERROR: ZDefocus1: 'ZDefocus2': unknown command. This is most likely from a corrupt .nk file, or from a missing or unlicensed plug-in. Can't render from that Node.    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I04plugins6058d04284cc0f226459d7c0Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I04plugins6058d04284cc0f226459d7c0Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I04plugins6058d04284cc0f226459d7c0Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I04plugins6058d04284cc0f226459d7c0Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
7,the plugins sandbox process is alive but unresponsive aborting render,the plugins sandbox process is alive but unresponsive aborting render,"Deadline's ""sandbox"" has timed out","Deadline has a ""sandbox"" that opens up per slave. This is where the plugin or application gets processed and logged by deadline.   This sandbox is it's own application and is subject to crashing  In this case - the sandbox has not crashed but is not responding to requests and has timed out or aborted.",TRUE,,The Plugin's Sandbox process is alive but unresponsive. Aborting Render...,,,,,,,,,,,,,,,,Nuke
8,timed out while waiting for data,timed out while waiting for data,Unresponsive machine/transfer/data before time out limit was reached,"Each script or process has a time out. If that timeout is reached during execution then an error or exception is ""thrown""   In this case, the data was not loaded in before the timeout was reached causing the error. This can be benign but if seen reguarly please pass this on to the System Administrators.",TRUE,6026ad2bb0c0ab46f83fa340_40,Timed out while waiting for data,,,,,,,,,,,,,,,,Nuke
9,error error defocus bad allocation at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,bad allocation,Failed to load into memory,This is a memory issue. The assets were unable to load into RAM.   If this is happening to your shot please look into your script for optimization,TRUE,,"Error: FailRenderException : [10:43.20] ERROR: Defocus2: bad allocation    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01plugins60474cca9768065370431016Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01plugins60474cca9768065370431016Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01plugins60474cca9768065370431016Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01plugins60474cca9768065370431016Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
